record_id,owner_name,mailing_city,mailing_state,parcel_id,town,acres,property_class,mfl_status,mfl_expiration_year,last_contact,source_notes
SYN-227,Kermit Prahl,Green Bay,WI,24-727-5296,Neva,22,6,MFL-Open,2038,,SYNTHETIC TRAINING DATA - not real ownership records
SYN-228,Kermit Prahl,Antigo,WI,27-642-9512,Norwood,72,5M,Not enrolled,,2023-09-14,SYNTHETIC TRAINING DATA - not real ownership records
SYN-229,Curtis Thibodeau,Elcho,WI,13-523-7515,Vilas,72,5,MFL-Open,,2025-03-19,SYNTHETIC TRAINING DATA - not real ownership records
SYN-230,Rhonda Weisman,Green Bay,WI,27-405-6799,Peck,72,5M,FCL,2032,2025-03-19,SYNTHETIC TRAINING DATA - not real ownership records
SYN-231,Harlan Lemieux,Antigo,WI,33-493-9813,Summit,104,6,MFL-Open,,2024-06-02,SYNTHETIC TRAINING DATA - not real ownership records
SYN-232,Harlan Steckbauer,Chicago IL,WI,19-679-9264,Norwood,160,6,MFL-Open,2032,,SYNTHETIC TRAINING DATA - not real ownership records
SYN-233,Roger Bergstrom,Madison,WI,11-900-6264,Summit,34,5M,Not enrolled,,2024-06-02,SYNTHETIC TRAINING DATA - not real ownership records
SYN-234,Curtis Lemieux,Madison,WI,10-340-2539,Elcho,127,5M,MFL-Closed,2038,2023-09-14,SYNTHETIC TRAINING DATA - not real ownership records
SYN-235,Doreen Osterberg,Madison,WI,27-446-1938,Peck,160,5M,MFL-Closed,2032,2024-06-02,SYNTHETIC TRAINING DATA - not real ownership records
SYN-236,Wayne Kubiak,Elcho,WI,26-570-2685,Summit,127,5M,MFL-Open,2041,,SYNTHETIC TRAINING DATA - not real ownership records
